"replicate","prior","correlation","mse","centers"
"2","equal",0.6,0.991962167140938,"1"
"2","equal",0.7,0.99224380225274,"1"
"2","equal",0.8,0.992803336634444,"1"
"2","equal",0.9,0.993853785961319,"1"
"2","equal",1,0.997574398763604,"1"
"2","equal",-1,0.370369734295729,"2"
"2","equal",-0.9,0.497879855757817,"2"
"2","equal",-0.8,0.618763533380713,"2"
"2","equal",-0.7,0.740240630951651,"2"
"2","equal",-0.6,0.869533495903698,"2"
"2","equal",-0.5,0.996507694505749,"2"
"2","equal",-0.4,1.1315787153979,"2"
"2","equal",-0.3,1.25665216751048,"2"
"2","equal",-0.2,1.39359790683677,"2"
"2","equal",-0.1,1.51800816462071,"2"
"2","equal",0,1.63374311433093,"2"
"2","equal",0.1,1.50616665581484,"2"
"2","equal",0.2,1.38318563951678,"2"
"2","equal",0.3,1.25739903395853,"2"
"2","equal",0.4,1.13831194735549,"2"
"2","equal",0.5,1.00946005340607,"2"
"2","equal",0.6,0.887165724163783,"2"
"2","equal",0.7,0.764685458686808,"2"
"2","equal",0.8,0.625296873000788,"2"
"2","equal",0.9,0.495228587049313,"2"
"2","equal",1,0.360901362552233,"2"
"2","equal",-1,0.191429808249074,"3"
"2","equal",-0.9,0.365570638474298,"3"
"2","equal",-0.8,0.557396520746509,"3"
"2","equal",-0.7,0.76775129506628,"3"
"2","equal",-0.6,0.984868955865851,"3"
"2","equal",-0.5,1.21110420342875,"3"
"2","equal",-0.4,1.45026950171738,"3"
"2","equal",-0.3,1.71516165349451,"3"
"2","equal",-0.2,1.98692532768534,"3"
"2","equal",-0.1,2.25769643062701,"3"
"2","equal",0,2.48289573431503,"3"
"2","equal",0.1,2.21465626940349,"3"
"2","equal",0.2,1.97270835009408,"3"
"2","equal",0.3,1.72436630971478,"3"
"2","equal",0.4,1.45954641598886,"3"
"2","equal",0.5,1.21898420381154,"3"
"2","equal",0.6,0.991071693502,"3"
"2","equal",0.7,0.76643348662314,"3"
"2","equal",0.8,0.558695372978667,"3"
"2","equal",0.9,0.364919201525741,"3"
"2","equal",1,0.19206017248086,"3"
"2","equal",-1,0.118943895882751,"4"
"2","equal",-0.9,0.312913963765472,"4"
"2","equal",-0.8,0.530117496553253,"4"
"2","equal",-0.7,0.790554794419349,"4"
"2","equal",-0.6,1.07977989280501,"4"
"2","equal",-0.5,1.39417602212588,"4"
"2","equal",-0.4,1.72459252476716,"4"
"2","equal",-0.3,2.09430132378531,"4"
"2","equal",-0.2,2.50692336031744,"4"
"2","equal",-0.1,2.91401799804342,"4"
"2","equal",0,3.27332974098256,"4"
"2","equal",0.1,2.88654879808341,"4"
"2","equal",0.2,2.49433516367276,"4"
"2","equal",0.3,2.11519294344282,"4"
"2","equal",0.4,1.76411884692006,"4"
"2","equal",0.5,1.4249540797417,"4"
"2","equal",0.6,1.10667882119248,"4"
"2","equal",0.7,0.819017904064499,"4"
"2","equal",0.8,0.547005771055223,"4"
"2","equal",0.9,0.314151702750161,"4"
"2","equal",1,0.118528606795321,"4"
"2","equal",-1,0.0800721187425979,"5"
"2","equal",-0.9,0.284557730089842,"5"
"2","equal",-0.8,0.54389559740757,"5"
"2","equal",-0.7,0.830419058758487,"5"
"2","equal",-0.6,1.17515590053663,"5"
"2","equal",-0.5,1.57727724510605,"5"
"2","equal",-0.4,2.00098100013622,"5"
"2","equal",-0.3,2.45501635207064,"5"
"2","equal",-0.2,2.98428556765734,"5"
"2","equal",-0.1,3.54031192201873,"5"
"2","equal",0,3.99920124505254,"5"
"2","equal",0.1,3.4621313646104,"5"
"2","equal",0.2,2.99831467505271,"5"
"2","equal",0.3,2.4972724741584,"5"
"2","equal",0.4,2.03420804056586,"5"
"2","equal",0.5,1.58826387333037,"5"
"2","equal",0.6,1.1955117425714,"5"
"2","equal",0.7,0.847947140113446,"5"
"2","equal",0.8,0.538744756568094,"5"
"2","equal",0.9,0.285550370059738,"5"
"2","equal",1,0.0812850055560865,"5"
"2","proportions",-1,1.00881216700683,"1"
"2","proportions",-0.9,1.00396777738022,"1"
"2","proportions",-0.8,1.00179355122902,"1"
"2","proportions",-0.7,1.000110240023,"1"
"2","proportions",-0.6,0.998704828086872,"1"
"2","proportions",-0.5,0.997494257804465,"1"
"2","proportions",-0.4,0.996436321295891,"1"
"2","proportions",-0.3,0.995506751515421,"1"
"2","proportions",-0.2,0.994690828008262,"1"
"2","proportions",-0.1,0.99397968679324,"1"
"2","proportions",0,0.993368551296078,"1"
"2","proportions",0.1,0.992855909968918,"1"
"2","proportions",0.2,0.992443274359617,"1"
"2","proportions",0.3,0.992135421042454,"1"
"2","proportions",0.4,0.991941213998601,"1"
"2","proportions",0.5,0.991875373682853,"1"
"2","proportions",0.6,0.991962167140938,"1"
"2","proportions",0.7,0.99224380225274,"1"
"2","proportions",0.8,0.992803336634444,"1"
"2","proportions",0.9,0.993853785961319,"1"
"2","proportions",1,0.997574398763604,"1"
"2","proportions",-1,0.370402596196297,"2"
"2","proportions",-0.9,0.49816116889214,"2"
"2","proportions",-0.8,0.618620502926464,"2"
"2","proportions",-0.7,0.741358469329345,"2"
"2","proportions",-0.6,0.869584724781919,"2"
"2","proportions",-0.5,0.9936041754849,"2"
"2","proportions",-0.4,1.1284135777858,"2"
"2","proportions",-0.3,1.25827425876704,"2"
"2","proportions",-0.2,1.39625441222054,"2"
"2","proportions",-0.1,1.52379046581233,"2"
"2","proportions",0,1.64393024795949,"2"
"2","proportions",0.1,1.50769282841372,"2"
"2","proportions",0.2,1.386395322464,"2"
"2","proportions",0.3,1.25260448524382,"2"
"2","proportions",0.4,1.14011780062338,"2"
"2","proportions",0.5,1.01209791759363,"2"
"2","proportions",0.6,0.884888077867816,"2"
"2","proportions",0.7,0.762823219167594,"2"
"2","proportions",0.8,0.625469716232998,"2"
"2","proportions",0.9,0.495228587049313,"2"
"2","proportions",1,0.360951799042044,"2"
"2","proportions",-1,0.196740305705384,"3"
"2","proportions",-0.9,0.349303009213385,"3"
"2","proportions",-0.8,0.497753144424507,"3"
"2","proportions",-0.7,0.636143231166766,"3"
"2","proportions",-0.6,0.765264696735439,"3"
"2","proportions",-0.5,0.867294212172838,"3"
"2","proportions",-0.4,0.956742194092944,"3"
"2","proportions",-0.3,1.00245050887518,"3"
"2","proportions",-0.2,0.995993805993128,"3"
"2","proportions",-0.1,0.993967944537236,"3"
"2","proportions",0,0.993599980298259,"3"
"2","proportions",0.1,0.992981870157489,"3"
"2","proportions",0.2,0.99898776467427,"3"
"2","proportions",0.3,1.00873663851337,"3"
"2","proportions",0.4,0.984348218177414,"3"
"2","proportions",0.5,0.90585398187461,"3"
"2","proportions",0.6,0.786213622435416,"3"
"2","proportions",0.7,0.652463295993784,"3"
"2","proportions",0.8,0.504199240100656,"3"
"2","proportions",0.9,0.353309434398136,"3"
"2","proportions",1,0.196792431311747,"3"
"2","proportions",-1,0.12204780930959,"4"
"2","proportions",-0.9,0.287903056784845,"4"
"2","proportions",-0.8,0.445337259103465,"4"
"2","proportions",-0.7,0.594165478093463,"4"
"2","proportions",-0.6,0.728990310610735,"4"
"2","proportions",-0.5,0.837302262307845,"4"
"2","proportions",-0.4,0.921210091710849,"4"
